City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
79,Okhotsk,RU,59.3833,143.3,59.11,74,40,5.55,scattered clouds
80,Rovaniemi,FI,66.5,25.7167,62.01,72,0,4.61,clear sky
81,Hobart,AU,-42.8794,147.3294,46.26,89,100,6.91,overcast clouds
82,Pevek,RU,69.7008,170.3133,32.29,96,100,11.54,light snow
83,Magan,ES,39.9683,-3.931,102.31,8,0,1.63,clear sky
84,Hilo,US,19.7297,-155.09,76.24,82,100,1.01,overcast clouds
85,Constantine,DZ,36.365,6.6147,81.81,44,20,12.66,few clouds
86,North Bend,US,43.4065,-124.2243,69.24,82,100,9.22,overcast clouds
87,Mecca,SA,21.4267,39.8261,94.91,16,100,5.08,overcast clouds
88,Vila Velha,BR,-20.3297,-40.2925,73.35,83,75,5.75,broken clouds
89,Erzin,TR,36.9559,36.2,74.34,87,3,4.18,clear sky
90,Castro,BR,-24.7911,-50.0119,71.65,45,55,6.17,broken clouds
91,Tres Arroyos,AR,-38.3739,-60.2798,61.38,61,34,13.49,scattered clouds
92,Fereydun Kenar,IR,36.6864,52.5225,77.45,63,14,3.71,few clouds
93,Balkanabat,TM,39.5108,54.3671,87.85,22,0,5.97,clear sky
94,Port Blair,IN,11.6667,92.75,81.09,86,100,17.36,moderate rain
95,Gazojak,TM,41.1875,61.4036,82.63,16,0,9.06,clear sky
96,Mar Del Plata,AR,-38.0023,-57.5575,57.22,86,75,11.01,broken clouds
97,Sao Joao Da Barra,BR,-21.6403,-41.0511,78.89,74,18,10.36,few clouds
98,Tubalan,PH,6.495,125.5661,78.69,82,100,7.29,overcast clouds
99,Puri,IN,19.8,85.85,81.12,83,100,11.79,overcast clouds
100,Kinsale,IE,51.7075,-8.5306,71.24,68,20,6.91,few clouds
101,East London,ZA,-33.0153,27.9116,68.27,36,0,8.72,clear sky
102,Cascais,PT,38.6979,-9.4215,94.35,31,0,21.85,clear sky
103,Acapulco,MX,16.8634,-99.8901,85.82,70,40,11.5,scattered clouds
104,Udachnyy,RU,66.4167,112.4,52.45,76,21,6.26,few clouds
105,San Bartolome De Tirajana,ES,27.9248,-15.5733,72.07,61,0,27.63,clear sky
106,Ujjain,IN,23.1833,75.7667,78.53,85,42,12.35,scattered clouds
107,Khandyga,RU,62.6667,135.6,54.27,77,98,4.85,overcast clouds
108,Yar-Sale,RU,66.8333,70.8333,56.23,71,1,0.72,clear sky
109,Geraldton,AU,-28.7667,114.6,64.81,77,100,14.97,overcast clouds
110,Kingisepp,RU,59.3733,28.6134,61.16,88,25,2.13,scattered clouds
111,Tanout,NE,14.9709,8.8879,84.15,48,72,20.45,light rain
112,Ketchikan,US,55.3422,-131.6461,57.85,92,94,6.13,light rain
113,Killybegs,IE,54.6333,-8.45,58.71,93,99,5.39,overcast clouds
114,Narsaq,GL,60.9167,-46.05,55.62,77,88,5.55,overcast clouds
115,Codrington,AU,-38.2667,141.9667,42.35,93,1,7.16,clear sky
116,Kodiak,US,57.79,-152.4072,53.11,94,100,17.27,light rain
117,Rudnogorsk,RU,57.2639,103.7519,52.29,92,35,3.31,scattered clouds
118,Esperance,AU,-33.8667,121.9,58.5,74,100,17.83,light rain
119,Takaungu,KE,-3.6837,39.8566,74.8,78,7,16.46,clear sky
120,Sao Filipe,CV,14.8961,-24.4956,74.39,84,36,6.51,scattered clouds
121,Praia Da Vitoria,PT,38.7333,-27.0667,71.76,83,75,9.86,broken clouds
122,Havre-Saint-Pierre,CA,50.2334,-63.5986,54.59,71,86,21.63,overcast clouds
123,Vestmannaeyjar,IS,63.4427,-20.2734,51.62,95,100,21.3,overcast clouds
124,Severo-Kurilsk,RU,50.6789,156.125,53.73,89,99,11.5,overcast clouds
125,Thinadhoo,MV,0.5333,72.9333,82.89,73,28,6.93,scattered clouds
126,Tasiilaq,GL,65.6145,-37.6368,48.36,79,99,4.16,overcast clouds
127,Benguela,AO,-12.5763,13.4055,69.3,86,71,7.74,broken clouds
128,Paamiut,GL,61.994,-49.6678,39.45,93,100,7.47,overcast clouds
129,Broome,US,42.2506,-75.833,81.7,43,0,9.22,clear sky
130,Barrow,US,71.2906,-156.7887,53.62,76,75,16.11,broken clouds
131,Santa Maria,BR,-29.6842,-53.8069,77.13,66,53,7.99,broken clouds
132,Kavaratti,IN,10.5669,72.642,81.23,83,100,20.51,overcast clouds
133,Hvide Sande,DK,56.0045,8.1294,58.08,76,51,29.42,broken clouds
134,Thompson,CA,55.7435,-97.8558,68.16,83,100,4.61,overcast clouds
135,Port Elizabeth,ZA,-33.918,25.5701,77.09,45,0,8.05,clear sky
136,Carnarvon,AU,-24.8667,113.6333,70.57,70,4,8.88,clear sky
137,Westport,US,41.1415,-73.3579,87.15,54,0,10.36,clear sky
138,Ilulissat,GL,69.2167,-51.1,50.02,62,20,4.61,few clouds
139,Luganville,VU,-15.5333,167.1667,77.0,83,15,6.33,few clouds
140,Belmonte,BR,-15.8631,-38.8828,74.91,77,43,13.31,scattered clouds
141,Coahuayana,MX,18.7333,-103.6833,90.32,56,74,3.18,broken clouds
142,Tiznit,MA,29.5833,-9.5,99.5,14,60,9.4,broken clouds
143,Bilibino,RU,68.0546,166.4372,40.41,94,100,6.26,light rain
144,Kununurra,AU,-15.7667,128.7333,64.38,34,65,9.22,broken clouds
145,Rojhan,PK,28.6868,69.9534,98.24,45,34,11.88,very heavy rain
